id,createdTime,Event,Name,Name (from Event),Name (from Notes),Notes,Some notes
reckVBbh7dD6ndHnw,2025-06-27T15:07:22.000Z,recEopSFdSptY1d7B,Review pitch deay,Pitch Day - 20/06/2025,rechY9RpaTtX4jAW5,recAPE9yt0iJZVBA0,"**`Review pitch deck - 25/06/2025`** |  |  | ### Team | - 10 years HR experience at Crédit Agricole | - Experienced team of 3-4 full-time members, currently unpaid | - Mix of freelancers and investors | ### Solution & Product | - Combines Duolingo and Pokemon Go concepts | - Focus areas: |     - Mental health prevention for employees |     - Climate action (CO2 savings tied to challenges) | - Initially climate-focused, now seeing increased demand for health features | - Daily engagement: |     - 6 daily actions/challenges |     - 3-4 wellness check-in questions |     - 3-week campaign duration with gamification |     - Rewards include prizes or charitable donations | - Carbon calculator integration: |     - Tracks commuting |     - Food waste |     - General waste management | - 30% conversion rate | ### Competition | - Alan has launched similar functionality within their application | ### Go-to-Market | - White label strategy for existing applications | - Target stakeholders: HR or Innovation departments | - Enterprise focus: |     - Planon and Schneider |     - Crédit Agricole (4k employees, regional branches) |     - Equans (2k employees) | - Sales cycle: 4 months per client | - Entry strategy: |     - Free trial for 20-60 employees |     - Communication kit and onboarding support |     - CODIR presentation for results |     - 1-year subscription contracts | ### Business Model | - Per-employee pricing structure: |     - €50 per team |     - Per-campaign pricing option |     - Annual subscription available | - White label solution: €60k annually | ### Traction | - Equans: 10k | - Crédit Agricole: 10k | - In discussions with Paris Airport | ### Financials | - Funding secured: |     - €30k FPI |     - €40k loan |     - €20k honorary loan | - Currently working with 3 companies | - Runway situation: |     - €70k BSA Air funding secured |     - Can sustain operations for 1 year |     - Seeking €1M equity round |     - Fundraising since March |     - Met with Daphni, Inco |     - Attending Paris&Co events |     - Targeting 18-month runway post-raise | ### Strategic Priorities | - Urgent need for recruitment | - Customer feature requests pending | - Fundraising as top priority |  | "
reclVY2FjAtp6MyUd,2025-06-27T15:37:29.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,rec2cIF9tr7DRPBKK," | - Explored different ideas and potential collaborators | - Ran Lemlist campaigns, searched on LinkedIn, did some cold calling and sent LinkedIn messages |  | **Next week:** |  | - Focus on exploring the idea he found and is excited about | - Do targeted outreach | - Aim to schedule at least 10 customer discovery calls |  | "
reclitNc3KZucyLFJ,2025-06-27T15:01:22.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,rec1jwsAl6dhrtLFz,"**`Pitch day - 20/06/2025`** | Had a lot of meetings and did a lot of exploration. Spoke with a friend in Madrid who could become a potential design partner. Also had a meeting with a Spanish VC, and another meeting with a contact introduced by André — someone who wants to build a funnel between VCs and founders. |  | Last Saturday, worked with Dylan, and they decided not to move forward together. |  | Next week: Will continue having conversations. | "
recm1t1fMB8nLJaCj,2025-06-27T14:53:32.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recrvuP1aF4gcmOGR,recHx5khDcNw6mQJU,**`Pitch day - 20/06/2025`** | Working on AI to simplify the validation of legal considerations within large corporations. The idea is that legal approval comes first — think of it as an augmented DocuSign. |  | They’re validating the problem through 50 interviews and have now started showing demos to some potential customers. The goal is to secure the first pilot. Looking to confirm 2–3 pilot projects soon. | 
recoybcQNTIy6KaEE,2025-07-17T10:44:46.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,rec0nrDbKZrsszvvf,"recwJxcDvm8e0gjn3,recZE4fXnvq3G58il,rec7BYeJHPUbDtD44","- 2 LOIs in the pipeline, Adi new team member | "
recp4VX5jkk6MIDpL,2025-06-27T15:40:02.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recLJZjnmwep93fmB,"rec0QhejQgLA8Fwhg,recSoqbOOhPAmI21u", |  | - MVP expected by next week | - Several calls and demos planned | - MVP is nearly ready | - Have a list of 10 additional user calls scheduled |  | **Next week:** |  | - Finalize the MVP | - Conduct the planned user calls and demos |  | 
recqND76a0Fmryu8r,2025-06-27T15:59:32.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,rec1jwsAl6dhrtLFz, | - Decided to part ways with Dylan | - Spoke with many people during the week | - Focused on developing his idea: | -  |     - A company that helps understand a large volume of business activity globally |     - Able to generate leads using intelligence (IQ) |     - Considering a potential collaboration with Station F |     - Has access to an alumni network that could support the project |  | **Next week:** |  | - Aim to secure a Letter of Intent (LOI) |  | 
recrnqOglq1T91WYq,2025-07-22T13:55:11.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recEBMmGuZY967b1s,rec2cIF9tr7DRPBKK,"- AI voice agent that will take the calls from the guest | - Question: customer satisfaction |  |     - problem: saving time?  |     - They don’t need it |     - Log details:  |     - Big hotels target:  |         - 200 bed plus | - All calls already recorded | - Big hotel chains have phone transcripts already | - Validation is more important than building the problem first  |  | Dominika: | \- Deck is ALWAYS a good idea - team didn’t have the deck at all | \- How would the team ensure the accuracy rates of the AI responses/calls to the technicians etc. | \- The team is already building the MPV, but doesn't have the deck and lacks basic validation? Would pause the MVP and focus on the latter instead. | \- Look into apartment hotels/big buildings and properties owned by one owner and divided into multiple short term/long term rentals | "
rect9BkirK5w71kMK,2025-06-27T15:05:31.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recSr6YEhbB1B1OSY,"**`Pitch day - 20/06/2025`** | Missed some time here – sorry for not being more present. I’ve started talking to people and ideas are starting to come together. |  | Still want to dive deeper into the personality side of potential cofounders. I need to find time to book more calls. I’ve got two calls lined up next week with potential cofounders. |  | Still open to other ideas – e-commerce, AI agents, fintech, etc. | "
recuUCg0lJc6gIU9Y,2025-06-27T15:06:23.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recEOHF4Z0BmZq56C,**`Pitch day - 20/06/2025`** | Got some new ideas and is working on developing them while looking for a cofounder. |  | Feeling a bit distant — facing some social challenges. | 
recubUG5n7Gza93lx,2025-07-17T10:10:28.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,recTgFx0MhiR4iLBe,"recCocEOyZsVUCNn0,recUOW9AqiE1oDktb","- Find your position in AI search result | - What is their result in LLM (ChatGPT, perplexity, Mistral —> what is the best prompt to buy in Paris —> LVMH wants to buy Gucci) |     - Search result  |     - Then more complex analysis |  | - Knows cofounder from hackathon |  | - Analyse  |     - Work on optimisation —> get analysis with competition  |     - 0 waitlist sign ups  |  | - More cold emails | - Make people participate  | - Improve your SEO in a way to make it LLM readable | "
recv3lS4DSfPsKjDb,2025-06-27T14:58:28.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,rec2cIF9tr7DRPBKK,**`Pitch day - 20/06/2025`** | Hasn’t found his cofounder yet. Feels like next week is the time to open more doors and talk to people he hasn’t connected with yet. Still doing 2-hour work sessions. |  | Goal for next week: Find a cofounder. | 
recxtEP6IbYKC1W98,2025-07-22T13:55:12.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,rec3zysTAj0wZsqXa,"recFBRePgXKkiq5r6,rec1mGcDGgMvv2pxX","- Rank agencies, conversational AI with the worker (ask workers right away) | - How do you get the data for best matches?  |  | - bottleneck:  |     - Not the agencies - always happy to get clients  |  | Dominika: | \- Didn't understand who is the end customer (and is it the same as user) - is it Intermediaries or the demand side (hiring companies)? | \- The product seems highly dependent on quality of the data input by intermediaries - how to mitigate risks coming with that? | \- The idea is still very vague and I'm not convinced about the business model at this stage | \- Competitors: Chabber <https://www.chabber.com/> |  | "
recysEG7jGUmBobGM,2025-07-22T13:55:00.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recytyNYmCLGxzIgt,rec1jwsAl6dhrtLFz,"Dominka:  | \- Wasn’t clear on the verticals and focus - presentation was a little all over the place | \- The vision is big, but the pitch lacked narrowing down and focusing in the short term | \- Voice AI focus mentioned as key uniqueness at the beginning and then completely forgotten in the rest of the deck, replaced by Text | \- Voice AI is what sparked my interest |  | "
recywt1yp9U4FrwtP,2025-07-17T10:45:58.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,recQpVpn9qPUBTeJi,"recSt2IAYyrlpGH9W,recuCYxmlOQvGuFM1",
